,zone_name,zone_id,zone_coords,zone_nightlife_count,zone_restaurant_count,zone_cultural_count,zone_lodging_count,zone_poi_count,Beach,Área,Índice_Turismo,Key Features
50,São Pedro do Sul,1466995,"40.753240, -8.086780",13,43,103,32,164,False,239,128.5,[]
51,Santo Tirso,1466996,"41.342390, -8.479080",21,168,125,43,197,False,116,70.8,['Cultural']
52,Moimenta da Beira,1534194,"40.983200, -7.618580",8,59,92,8,140,False,96,44.1,[]
53,Entroncamento,1598489,"39.463520, -8.467830",18,72,102,20,156,False,202,31.1,[]
54,Ovar,1600882,"40.863990, -8.628460",29,116,100,54,187,False,71,25.1,[]
55,Baião,1719238,"41.161740, -8.030180",13,56,92,19,133,False,212,27.8,[]
56,Cantanhede,1719246,"40.346840, -8.593060",7,41,99,22,165,False,123,77.2,[]
57,Lousã,1769086,"40.116720, -8.246450",24,105,106,49,160,False,138,150.5,[]
58,Avis,1793622,"39.050240, -7.892360",3,35,68,10,41,False,298,270.5,[]
59,Freixo de Espada à Cinta,1799651,"41.090770, -6.811460",3,40,72,6,49,False,117,423.3,[]
60,Moita,1808485,"38.654040, -8.990630",41,173,110,12,121,False,244,228.9,['Nightlife']
61,Benavente,1811816,"38.979550, -8.807390",8,47,73,13,142,False,165,382.6,[]
62,Vila Franca de Xira,1826007,"38.955220, -8.989390",24,48,119,24,101,False,27,587.3,['Cultural']
63,Beja,189102,"38.015970, -7.863230",24,52,109,20,47,False,220,42.5,[]
64,Campo Maior,189103,"39.014270, -7.064370",15,41,85,7,42,False,189,0.0,[]
65,Elvas,189104,"38.881520, -7.162780",62,79,107,24,62,False,134,0.0,['Nightlife']
66,Estremoz,189105,"38.842610, -7.586570",10,47,93,25,58,False,95,321.8,[]
67,Évora,189106,"38.571570, -7.910280",46,86,147,39,77,False,157,351.5,"['Cultural', 'Nightlife']"
68,Marvão,189107,"39.392570, -7.376080",4,70,80,29,62,False,266,200.0,[]
69,Portalegre,189108,"39.293080, -7.428290",27,58,93,48,102,False,229,155.5,[]
70,Serpa,189109,"37.945870, -7.596240",10,43,83,22,70,False,134,354.3,[]
71,Sines,189110,"37.956840, -8.868880",23,78,79,35,111,False,100,137.9,[]
72,Albufeira,189112,"37.089390, -8.250680",91,133,102,109,145,True,532,169.8,"['Nightlife', 'Beach']"
73,Lagos,189117,"37.102840, -8.674290",65,122,121,92,156,True,398,115.2,"['Cultural', 'Nightlife', 'Beach']"
74,Loulé,189118,"37.137620, -8.019800",39,67,100,37,93,False,379,100.8,['Nightlife']
75,Monchique,189119,"37.317950, -8.555870",11,40,74,21,49,False,322,162.2,[]
76,Portimão,189120,"37.138580, -8.537940",75,41,140,43,97,True,1174,197.5,"['Cultural', 'Nightlife', 'Beach']"
77,Silves,189122,"37.188620, -8.438530",26,80,78,56,120,False,699,96.6,[]
78,Anadia,189139,"40.441090, -8.433520",19,28,109,12,115,False,487,388.8,[]
79,Aveiro,189140,"40.641180, -8.653620",62,166,165,55,185,True,761,134.7,"['Cultural', 'Nightlife', 'Beach']"
80,Castelo Branco,189142,"39.822190, -7.490870",53,60,108,26,75,False,266,100.2,['Nightlife']
81,Coimbra,189143,"40.203310, -8.410260",71,123,180,32,156,False,482,81.7,"['Cultural', 'Nightlife']"
82,Covilhã,189145,"40.286570, -7.503530",49,69,115,35,143,False,695,134.7,['Nightlife']
83,Figueira da Foz,189146,"40.147050, -8.861640",63,107,114,43,184,False,408,134.5,['Nightlife']
84,Viseu,189149,"40.661010, -7.909710",72,175,144,30,156,False,304,14.8,"['Cultural', 'Nightlife']"
85,Barreiro,189151,"38.663530, -9.072220",67,65,148,38,140,False,78,53.0,"['Cultural', 'Nightlife']"
86,Batalha,189152,"39.660080, -8.824870",19,97,100,29,169,False,91,79.4,[]
87,Cascais,189154,"38.697890, -9.421510",74,176,171,98,188,True,175,43.0,"['Cultural', 'Nightlife', 'Beach']"
88,Lisboa,189158,"38.722260, -9.139340",120,164,271,77,80,False,256,222.1,"['Cultural', 'Nightlife']"
89,Mafra,189159,"38.937280, -9.327070",14,41,103,33,186,True,147,137.4,['Beach']
90,Óbidos,189160,"39.359660, -9.157530",22,94,121,56,184,False,82,1036.6,['Cultural']
91,Palmela,189161,"38.570790, -8.901350",26,77,99,26,129,False,142,1146.6,[]
92,Setúbal,189163,"38.525930, -8.888170",65,131,156,48,198,False,78,555.3,"['Cultural', 'Nightlife']"
93,Sintra,189164,"38.802870, -9.381460",66,140,141,43,194,True,52,3.3,"['Cultural', 'Nightlife', 'Beach']"
94,Barcelos,189170,"41.537130, -8.615760",48,149,136,42,192,False,407,189.5,"['Cultural', 'Nightlife']"
95,Braga,189171,"41.550320, -8.420050",79,123,186,83,190,False,335,87.2,"['Cultural', 'Nightlife']"
96,Bragança,189172,"41.805820, -6.757480",60,65,122,26,88,False,159,62.0,"['Cultural', 'Nightlife']"
97,Espinho,189173,"41.007310, -8.641160",58,162,126,40,195,False,217,128.5,"['Cultural', 'Nightlife']"
98,Guimarães,189174,"41.442530, -8.291790",64,135,156,51,150,False,198,315.3,"['Cultural', 'Nightlife']"
99,Lamego,189175,"41.096030, -7.811880",18,91,119,40,160,False,108,60.1,['Cultural']
100,Monção,189177,"42.078820, -8.477200",53,86,117,24,136,False,73,153.4,"['Cultural', 'Nightlife']"
101,Porto,189180,"41.149610, -8.610990",103,163,250,75,188,False,73,147.2,"['Cultural', 'Nightlife']"
102,Póvoa de Varzim,189181,"41.383860, -8.763840",67,132,152,36,193,False,87,39.4,"['Cultural', 'Nightlife']"
103,Valença,189184,"42.028720, -8.648440",69,82,134,51,192,False,148,123.8,"['Cultural', 'Nightlife']"
104,Viana do Castelo,189185,"41.693380, -8.832540",57,156,149,50,111,True,130,107.7,"['Cultural', 'Nightlife', 'Beach']"
105,Vila do Conde,189186,"41.354960, -8.746610",66,162,151,45,180,False,165,57.1,"['Cultural', 'Nightlife']"
106,Bombarral,1910059,"39.268190, -9.157260",17,78,94,31,172,False,333,217.9,[]
107,Paredes de Coura,1910060,"41.911620, -8.560400",4,63,126,21,97,False,391,60.5,['Cultural']
108,Resende,1913597,"41.107590, -7.966570",15,75,121,66,196,False,319,237.7,['Cultural']
109,Ourique,1916976,"37.658760, -8.227570",0,20,67,5,25,False,139,33.7,[]
110,Tábua,1923768,"40.362670, -8.000250",11,23,84,18,125,False,379,384.0,[]
111,Tarouca,1924896,"41.019400, -7.768730",12,78,104,28,170,False,263,243.8,[]
112,Mourão,1926706,"38.399530, -7.368040",8,6,77,1,10,False,111,138.7,[]
113,Alvaiázere,1933791,"39.822380, -8.462660",0,8,70,14,127,False,124,352.9,[]
114,Arganil,1938285,"40.219960, -8.053920",11,66,115,42,173,False,126,309.5,[]
115,Felgueiras,1938623,"41.368570, -8.195010",24,121,123,22,136,False,229,149.3,['Cultural']
116,Mortágua,1956105,"40.399860, -8.232900",8,52,96,11,108,False,251,87.6,[]
117,Sever do Vouga,1956109,"40.737190, -8.365250",13,59,106,14,126,False,235,454.2,[]
118,Tondela,1956110,"40.516370, -8.071070",19,30,106,20,181,False,396,159.7,[]
119,Vila Verde,2024795,"41.652480, -8.430770",23,106,125,39,148,False,217,167.2,['Cultural']
120,Figueiró dos Vinhos,2053346,"39.909670, -8.275260",4,42,83,19,88,False,265,70.3,[]
121,Alenquer,2067688,"39.055090, -9.009610",18,64,105,32,148,False,200,341.3,[]
122,Pedrógão Grande,2085289,"39.918750, -8.152600",8,47,84,12,89,False,84,59.9,[]
123,Idanha-a-Nova,2097165,"39.925480, -7.242860",5,40,71,27,92,False,160,206.6,[]
124,Marco de Canaveses,2137524,"41.187200, -8.147730",26,80,117,43,197,False,176,46.2,['Cultural']
125,Trancoso,2137525,"40.774520, -7.345850",6,29,99,18,77,False,103,63.2,[]
126,Sabugal,2184372,"40.352170, -7.093260",17,36,81,6,108,False,173,44.5,[]
127,Valongo,2188317,"41.190070, -8.493140",38,147,117,35,189,False,565,226.6,"['Cultural', 'Nightlife']"
128,Boticas,2199643,"41.689680, -7.648520",6,8,84,2,80,False,187,117.0,[]
129,Cartaxo,226941,"39.159590, -8.789640",20,128,81,51,151,False,129,140.8,[]
130,Fafe,226942,"41.454020, -8.169580",26,110,122,36,106,False,626,132.4,['Cultural']
131,Sabrosa,226943,"41.265630, -7.567020",7,21,103,9,145,False,262,183.5,[]
132,Montalegre,226944,"41.825470, -7.785720",5,64,97,13,72,False,207,53.9,[]
133,Vimioso,2275407,"41.634440, -6.514180",1,10,60,2,37,False,117,69.2,[]
134,Sesimbra,227946,"38.444840, -9.101280",30,59,85,78,187,False,379,50.1,[]
135,Vieira do Minho,2290369,"41.628780, -8.123160",2,13,80,29,115,False,219,116.6,[]
136,Abrantes,230082,"39.466270, -8.203580",23,95,116,16,143,False,126,30.3,[]
137,Alcobaça,230083,"39.551380, -8.977430",20,72,113,59,185,False,145,85.4,[]
138,Guarda,230084,"40.536620, -7.268290",33,153,104,31,144,False,134,113.0,['Nightlife']
139,Leiria,230085,"39.743620, -8.807050",66,175,141,29,189,False,112,151.5,"['Cultural', 'Nightlife']"
140,Vila Nova de Paiva,2321806,"40.856610, -7.727640",4,32,89,6,155,False,349,74.4,[]
141,Porto de Mós,2352944,"39.601940, -8.818660",10,67,100,16,159,False,202,111.8,[]
142,Tabuaço,2368615,"41.117340, -7.567890",6,37,89,23,109,False,371,23.2,[]
143,Ansião,2391428,"39.911400, -8.459240",5,44,90,20,138,False,176,627.5,[]
144,Vidigueira,2413548,"38.209920, -7.805040",8,37,84,15,64,False,507,0.0,[]
145,Santa Maria de Penaguião,2479236,"41.206400, -7.768870",7,19,124,13,124,False,69,153.0,['Cultural']
146,Nelas,2483927,"40.532440, -7.851960",6,75,88,27,172,False,194,78.7,[]
147,São João da Pesqueira,2485080,"41.145600, -7.407460",4,40,77,4,106,False,1438,0.0,[]
148,Vendas Novas,2500441,"38.677870, -8.457420",9,35,78,17,53,False,1416,144.8,[]
149,Miranda do Corvo,2526692,"40.098690, -8.337880",13,13,104,23,123,False,471,83.5,[]
150,Alandroal,2537378,"38.707480, -7.403580",1,22,71,13,60,False,564,158.3,[]
151,Vila Flor,2543584,"41.307090, -7.153930",8,54,84,9,90,False,395,413.5,[]
152,Almeirim,2589401,"39.209060, -8.616700",14,48,84,19,123,False,330,177.0,[]
153,Arronches,2589402,"39.121850, -7.268360",1,4,70,14,61,False,715,248.0,[]
154,Vale de Cambra,2654204,"40.843670, -8.378900",19,44,113,58,152,False,127,65.8,[]
155,Ponte da Barca,2712645,"41.807040, -8.418690",36,99,131,41,107,False,80,284.2,"['Cultural', 'Nightlife']"
156,Celorico da Beira,2712647,"40.637600, -7.389600",8,46,92,10,129,False,14,90.1,[]
157,Arruda dos Vinhos,2712658,"38.984710, -9.077510",14,79,84,33,137,False,190,70.4,[]
158,Ponte de Lima,285714,"41.767330, -8.583660",36,87,132,67,171,False,400,0.0,"['Cultural', 'Nightlife']"
159,Tavira,285715,"37.127190, -7.648660",61,100,123,78,137,False,417,0.0,"['Cultural', 'Nightlife']"
160,Borba,312707,"38.805700, -7.454720",11,36,112,14,50,False,92,353.9,[]
161,Castelo de Vide,312708,"39.411240, -7.453120",9,37,92,25,36,False,447,47.9,[]
162,Olhão,312714,"37.024900, -7.841350",62,144,93,149,189,False,351,839.5,['Nightlife']
163,Lourinhã,312716,"39.236960, -9.313940",26,74,104,71,190,False,270,73.1,[]
164,Tomar,312717,"39.603970, -8.409380",29,108,110,51,163,False,192,332.6,[]
165,Santa Maria da Feira,312721,"40.925480, -8.542070",36,134,125,37,181,False,50,201.1,"['Cultural', 'Nightlife']"
166,Odivelas,3135840,"38.792560, -9.184000",70,173,130,53,197,False,518,52.6,"['Cultural', 'Nightlife']"
167,Nisa,3157196,"39.513270, -7.649430",7,35,82,5,57,False,119,47.4,[]
168,Aguiar da Beira,3158961,"40.816780, -7.542150",5,76,85,8,104,False,247,66.1,[]
169,Amarante,315900,"41.274990, -8.082010",30,126,114,49,154,False,556,198.5,[]
170,Chaves,315901,"41.740680, -7.469800",53,56,129,23,126,False,509,356.6,"['Cultural', 'Nightlife']"
171,Nazaré,315902,"39.601170, -9.069910",51,66,91,50,156,True,131,305.5,"['Nightlife', 'Beach']"
172,Terras de Bouro,3160022,"41.728510, -8.231250",5,69,89,31,71,False,700,464.6,[]
173,Castanheira de Pêra,3160469,"40.002220, -8.219480",5,77,81,32,71,False,66,193.0,[]
174,Vila Nova da Barquinha,3172235,"39.464020, -8.493300",29,88,115,26,189,False,301,436.4,[]
175,Loures,3174454,"38.830970, -9.168400",71,157,137,36,193,False,712,367.3,"['Cultural', 'Nightlife']"
176,Salvaterra de Magos,3174457,"39.027560, -8.793550",8,35,73,10,105,False,122,124.1,[]
177,Torre de Moncorvo,3175266,"41.171230, -7.055260",9,76,90,20,97,False,485,130.6,[]
178,Coruche,3191375,"38.959530, -8.529100",9,42,79,17,54,False,823,1735.3,[]
179,Vila Pouca de Aguiar,3226144,"41.505520, -7.643590",9,67,96,15,122,False,436,407.9,[]
180,Mora,3226314,"38.943610, -8.161250",2,44,66,2,38,False,362,53.3,[]
181,Ferreira do Alentejo,3226524,"38.051830, -8.001090",1,19,69,3,60,False,128,189.5,[]
182,Alpiarça,3226543,"39.261170, -8.581160",8,46,64,11,110,False,70,281.0,[]
183,Sernancelhe,3336959,"40.893940, -7.543510",5,39,87,4,119,False,24,189.4,[]
184,Ribeira de Pena,3337358,"41.506600, -7.806680",5,75,94,12,109,False,36,119.2,[]
185,Sertã,3381413,"39.808480, -8.093080",11,33,86,20,82,False,97,140.9,[]
186,Macedo de Cavaleiros,3383686,"41.538940, -6.961390",10,60,92,28,102,False,100,46.5,[]
187,Gavião,3416163,"39.464540, -7.935760",4,37,77,10,64,False,167,9.7,[]
188,Sátão,3420274,"40.741630, -7.738340",11,56,95,12,124,False,292,342.9,[]
189,Fornos de Algodres,3442386,"40.627630, -7.536780",6,48,102,16,120,False,55,939.4,[]
190,Penela,3507655,"41.347820, -8.460020",25,173,126,38,196,False,133,66.8,['Cultural']
191,Vila de Rei,3526972,"39.674400, -8.151700",2,59,77,11,59,False,349,223.3,[]
192,Penamacor,3733421,"40.171570, -7.169590",3,20,71,8,25,False,27,0.0,[]
193,Azambuja,3830410,"39.070010, -8.868170",12,48,80,16,150,False,46,178.9,[]
194,Sardoal,3844081,"39.536620, -8.161890",8,68,86,11,88,False,465,1.9,[]
195,Faro,3856572,"37.019370, -7.930440",75,126,129,84,171,True,95,89.5,"['Cultural', 'Nightlife', 'Beach']"
196,Ponte de Sor,3861917,"39.251360, -8.009690",13,35,76,11,42,False,196,60.7,[]
197,Cadaval,3902503,"39.242560, -9.099950",11,58,95,24,175,False,230,37.2,[]
198,Mêda,3935659,"40.972550, -7.265160",5,24,90,14,98,False,286,257.8,[]
199,Vila Nova de Poiares,4065030,"40.217930, -8.277080",8,36,87,23,132,False,319,193.5,[]
200,Almodôvar,4156047,"37.509540, -8.049020",4,15,68,8,39,False,318,101.0,[]
201,Estarreja,4212587,"40.760360, -8.572640",14,85,103,25,181,False,1500,25.5,[]
202,Vizela,4473214,"41.383920, -8.304890",37,114,113,41,179,False,826,421.5,['Nightlife']
203,Aljustrel,4583727,"37.877950, -8.165150",7,44,79,7,48,False,1721,2610.7,[]
204,Cuba,4762377,"37.951520, -7.889870",3,19,62,2,79,False,1060,825.6,[]
205,Ílhavo,580251,"40.603610, -8.671860",61,189,158,62,173,False,203,437.3,"['Cultural', 'Nightlife']"
206,Marinha Grande,580253,"39.747150, -8.933660",23,70,90,28,187,False,458,419.0,[]
207,Pombal,580254,"39.913370, -8.628010",25,67,92,23,107,False,778,77.3,[]
208,Esposende,580261,"41.536680, -8.780480",42,76,138,41,183,False,265,249.5,"['Cultural', 'Nightlife']"
209,Vagos,580266,"40.555790, -8.678450",10,118,102,20,188,False,168,293.8,[]
210,Valpaços,580267,"41.607720, -7.312350",8,41,80,9,90,False,1146,181.6,[]
211,Vila Nova de Gaia,580268,"41.117140, -8.605530",105,176,252,87,186,True,569,379.2,"['Cultural', 'Nightlife', 'Beach']"
212,Soure,5828620,"40.053660, -8.626060",8,83,83,13,160,False,172,331.7,[]
213,Mação,5980596,"39.556060, -7.992460",4,26,80,8,78,False,648,188.6,[]
214,Fundão,608950,"40.141790, -7.501070",12,49,115,25,75,False,1293,192.6,[]
215,Mangualde,608951,"40.604800, -7.760680",7,57,95,21,133,False,958,770.9,[]
216,Peniche,608952,"39.357570, -9.380420",53,49,95,47,53,False,663,227.8,['Nightlife']
217,Alcácer do Sal,616215,"38.374340, -8.514540",9,41,75,25,49,False,1106,171.9,[]
218,Santiago do Cacém,616216,"38.016800, -8.682810",3,14,76,32,52,False,317,140.6,[]
219,Redondo,616217,"38.644040, -7.545630",6,45,82,9,54,False,222,245.7,[]
220,Arraiolos,616219,"38.722990, -7.987610",2,35,75,24,72,False,95,67.9,[]
221,Alcochete,616220,"38.754640, -8.957720",18,37,76,15,30,False,263,11.9,[]
222,Belmonte,616222,"40.358690, -7.348160",10,62,83,25,87,False,521,37.9,[]
223,Mealhada,616223,"40.378900, -8.449200",20,50,97,9,95,False,158,61.9,[]
224,Lousada,616224,"41.272700, -8.278220",28,115,126,26,174,False,746,24.6,['Cultural']
225,Arcos de Valdevez,616227,"41.848100, -8.411160",35,62,131,31,81,False,1116,23.3,"['Cultural', 'Nightlife']"
226,Paços de Ferreira,616228,"41.277320, -8.384780",58,179,131,30,191,False,84,56.8,"['Cultural', 'Nightlife']"
227,Miranda do Douro,635651,"41.491090, -6.275750",9,45,71,16,55,False,273,154.3,[]
228,Reguengos de Monsaraz,635881,"38.425620, -7.536760",8,47,72,39,99,False,244,72.6,[]
229,Moura,642198,"38.139970, -7.452510",13,39,82,22,78,False,553,9.9,[]
230,Ferreira do Zêzere,642201,"39.694010, -8.289080",6,45,80,21,98,False,362,96.9,[]
231,Cinfães,642202,"41.080010, -8.087180",11,72,110,52,151,False,315,838.4,[]
232,Caminha,644298,"41.876430, -8.832540",61,132,140,110,180,False,606,390.6,"['Cultural', 'Nightlife']"
233,Vila Viçosa,652077,"38.778960, -7.416920",13,34,110,15,70,False,247,393.0,[]
234,Alcoutim,652079,"37.475460, -7.472930",6,27,69,20,49,False,265,53.1,[]
235,Albergaria-a-Velha,652082,"40.700860, -8.482040",23,26,99,16,141,False,398,722.0,[]
236,Torres Novas,652086,"39.480290, -8.539680",20,52,98,32,187,False,631,365.5,[]
237,Carrezada de Ansiães,652088,"41.210160, -7.306210",3,10,96,11,111,False,279,160.0,[]
238,Figueira de Castelo Rodrigo,652090,"40.893170, -6.963830",3,36,73,5,44,False,249,437.1,[]
239,Gouveia,652091,"40.494460, -7.594790",7,58,112,22,140,False,295,124.3,[]
240,Matosinhos,652092,"41.182690, -8.689130",76,183,173,73,192,True,155,126.3,"['Cultural', 'Nightlife', 'Beach']"
241,Oliveira de Azeméis,652093,"40.843420, -8.480820",27,152,128,13,149,False,161,1013.5,['Cultural']
242,Seia,652094,"40.415960, -7.707470",13,103,121,57,174,False,420,262.9,['Cultural']
243,Arouca,656854,"40.932700, -8.247170",8,53,97,30,106,False,576,335.9,[]
244,Oliveira do Hospital,656855,"40.362670, -7.860580",25,60,107,23,155,False,840,397.2,[]
245,Torres Vedras,656858,"39.091780, -9.258870",36,78,123,29,155,False,447,167.9,"['Cultural', 'Nightlife']"
246,Montijo,658385,"38.706570, -8.970240",60,97,111,21,84,False,279,90.2,['Nightlife']
247,Santarém,659913,"39.236200, -8.687990",35,62,113,32,94,False,543,174.3,['Nightlife']
248,Alcanena,659914,"39.459630, -8.667190",10,108,93,12,179,False,684,245.2,[]
249,Águeda,660256,"40.577520, -8.446960",40,53,125,15,136,False,145,32.1,"['Cultural', 'Nightlife']"
250,Proença-a-Nova,660257,"39.755190, -7.923800",4,23,77,9,34,False,514,236.4,[]
251,São João da Madeira,660259,"40.897540, -8.496530",44,117,130,23,154,False,1307,736.2,"['Cultural', 'Nightlife']"
252,Alfândega da Fé,660260,"41.340500, -6.959420",4,33,72,10,45,False,1233,154.1,[]
253,Grândola,660495,"38.177340, -8.572810",13,78,74,25,50,False,444,104.6,[]
254,Póvoa de Lanhoso,660497,"41.575930, -8.260390",12,31,107,85,181,False,279,548.0,[]
255,Almeida,663589,"40.727550, -6.906950",7,42,74,11,50,False,601,79.1,[]
256,Caldas da Rainha,663836,"39.403650, -9.138780",48,111,151,50,185,False,370,258.2,"['Cultural', 'Nightlife']"
257,Ourém,664020,"39.641010, -8.591890",18,90,98,15,155,False,464,594.7,[]
258,Vila Real de Santo António,664459,"37.189940, -7.417660",64,91,110,44,90,False,222,49.7,['Nightlife']
259,Manteigas,666185,"40.399470, -7.540190",7,36,87,31,80,False,394,61.1,[]
260,Vila Nova de Famalicão,676780,"41.406590, -8.523810",36,165,128,47,192,False,195,416.6,"['Cultural', 'Nightlife']"
261,Castro Verde,680209,"37.698180, -8.083830",11,30,73,14,31,False,141,8504.0,[]
262,Gondomar,6855662,"41.141880, -8.532970",69,144,147,47,200,False,575,383.8,"['Cultural', 'Nightlife']"
263,Vouzela,6932165,"40.723000, -8.107520",9,141,98,58,151,False,324,1460.5,[]
264,Barrancos,7008923,"38.132870, -6.976240",4,23,66,3,23,False,301,1993.5,[]
265,Pampilhosa da Serra,7018388,"40.046140, -7.942160",4,12,75,8,108,False,203,496.0,[]
266,Vinhais,7034944,"41.831760, -7.003060",6,48,88,6,67,False,88,3962.4,[]
267,Oleiros,7038598,"39.920560, -7.913670",4,34,75,5,76,False,213,2486.6,[]
268,Vila Velha de Ródão,7092545,"39.661770, -7.605930",1,4,45,1,23,False,764,2211.1,[]
269,Penalva do Castelo,729735,"40.654780, -7.762940",4,25,96,5,160,False,395,969.7,[]
270,Monforte,7314634,"39.055230, -7.437260",1,24,74,1,41,False,131,277.4,[]
271,Paredes,754083,"41.208250, -8.331620",55,147,132,37,185,False,182,2254.0,"['Cultural', 'Nightlife']"
272,Golegã,775188,"39.404250, -8.489620",9,43,75,37,128,False,153,98.8,[]
273,Castro Marim,775189,"37.218560, -7.443180",63,48,110,35,98,False,680,531.0,['Nightlife']
274,Melgaço,793316,"42.113230, -8.262370",30,78,127,21,167,False,607,1539.7,['Cultural']
275,Pinhel,8514724,"40.775860, -7.066120",7,33,78,18,60,False,179,4760.6,[]
276,Carregal do Sal,8649088,"40.430450, -8.012970",5,67,91,18,179,False,61,3603.6,[]
